host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
t,2,2,t,t,Beverly,41.71554,-87.67197,Private room,2,1,1,2,1125,t,1,2,20,295,194,20,2,4.85,4.89,4.96,4.94,4.94,4.79,4.87,f,2,0,2,0,1.77,0.277463401,6.551516054,11.45052122,56
t,2,2,t,t,Lower West Side,41.85592,-87.66249,Private room,4,1,1,2,120,t,3,8,29,107,279,66,4,4.89,4.94,4.63,4.99,4.99,4.91,4.88,f,2,0,2,0,4.92,0.386922304,6.883095717,2.351161537,70
t,7,7,t,t,Near North Side,41.90532,-87.64761,Entire home/apt,10,3,9,3,30,t,12,23,46,46,34,5,0,4.9,4.89,5,4.93,4.96,4.75,4.82,t,3,3,0,0,0.31,0.380172981,10.02609436,2.114987574,236
t,1,1,t,t,Rogers Park,42.01177,-87.67758,Entire home/apt,6,1,3,2,30,t,23,48,78,353,161,29,5,4.83,4.88,4.92,4.94,4.97,4.86,4.8,f,1,1,0,0,1.47,0.15704438,12.61556107,9.585079366,119
f,1,1,t,f,Lake View,41.93455,-87.66141,Private room,2,1,2,4,30,t,10,14,24,258,311,28,5,4.92,4.91,4.9,4.95,4.96,4.87,4.91,f,1,0,1,0,3.04,0.456481546,11.39061357,4.260301166,64
f,1,6,t,t,Lincoln Park,41.92817,-87.64282,Private room,2,1,1,1,90,t,14,44,74,74,49,26,4,4.58,4.67,4.78,4.86,4.78,4.98,4.45,f,1,0,1,0,0.45,0.577855397,11.49048385,3.527211046,157
t,1,1,f,f,Lower West Side,41.85922,-87.64592,Entire home/apt,4,2,2,2,1125,t,0,0,12,12,53,3,0,5,5,4.92,4.98,5,4.91,4.96,f,1,1,0,0,0.81,0.090804379,7.702433904,1.572179042,103
t,2,4,t,t,Chatham,41.72706,-87.61164,Private room,3,2,2,2,30,t,0,0,0,252,105,10,0,4.78,4.84,4.72,4.83,4.93,4.44,4.81,f,1,0,1,0,0.96,0.549754177,8.695295027,10.46882157,55
t,5,6,t,t,West Town,41.89322,-87.68572,Entire home/apt,4,1,2,32,1000,t,12,30,60,335,350,14,0,4.89,4.94,4.93,4.92,4.9,4.74,4.8,f,3,3,0,0,3.32,0.309373421,8.245615888,3.226555254,80
f,1,1,t,t,West Town,41.89678,-87.6971,Entire home/apt,4,2,2,32,210,t,0,0,0,0,116,0,0,4.82,4.92,4.87,4.96,4.97,4.68,4.82,f,1,1,0,0,1.41,0.707813178,8.218678957,3.894079216,86
