@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_cleansed {'Historic Anacostia','Cathedral Heights, McLean Gardens, Glover Park','Edgewood, Bloomingdale, Truxton Circle, Eckington','Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View','River Terrace, Benning, Greenway, Dupont Park','Fairfax Village, Naylor Gardens, Hillcrest, Summit Park','Near Southeast, Navy Yard','Dupont Circle, Connecticut Avenue/K Street','Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill','Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir','Takoma, Brightwood, Manor Park','Friendship Heights, American University Park, Tenleytown','Brightwood Park, Crestwood, Petworth','Colonial Village, Shepherd Park, North Portal Estates','Georgetown, Burleith/Hillandale','Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace','Capitol Hill, Lincoln Park','Ivy City, Arboretum, Trinidad, Carver Langston','Shaw, Logan Circle','Union Station, Stanton Park, Kingman Park','Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street','Howard University, Le Droit Park, Cardozo/Shaw','Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights','North Michigan Park, Michigan Park, University Heights','North Cleveland Park, Forest Hills, Van Ness','Douglas, Shipley Terrace','West End, Foggy Bottom, GWU','Congress Heights, Bellevue, Washington Highlands','Kalorama Heights, Adams Morgan, Lanier Heights','Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point','Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont','Woodridge, Fort Lincoln, Gateway','Mayfair, Hillbrook, Mahaning Heights','Eastland Gardens, Kenilworth','Brookland, Brentwood, Langdon','Capitol View, Marshall Heights, Benning Heights','Hawthorne, Barnaby Woods, Chevy Chase','Woodland/Fort Stanton, Garfield Heights, Knox Hill','Sheridan, Barry Farm, Buena Vista'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Union Station, Stanton Park, Kingman Park',38.90085,-77.00094,'Shared room',0,0,0,15,?,134,0.403582,3.887157,1.955596,53
'Union Station, Stanton Park, Kingman Park',38.89934,-77.00092,'Shared room',0,0,0,15,?,142,0.360878,3.797899,1.982562,53
'West End, Foggy Bottom, GWU',38.90792,-77.04979,'Private room',0,0,0,1,?,-1,0.357256,3.904543,0.684974,575
'Union Station, Stanton Park, Kingman Park',38.89969,-76.99884,'Shared room',0,0,0,15,?,43,0.473396,3.876076,2.082675,53
'Union Station, Stanton Park, Kingman Park',38.90116,-76.99881,'Shared room',0,0,0,15,?,52,0.462132,3.963198,2.06134,53
'Union Station, Stanton Park, Kingman Park',38.90074,-76.99871,'Shared room',0,0,0,15,?,127,0.490155,3.94125,2.072569,53
'Union Station, Stanton Park, Kingman Park',38.90135,-77.00057,'Shared room',0,0,0,15,?,469,0.412523,3.926839,1.967345,53
'Union Station, Stanton Park, Kingman Park',38.90074,-76.99867,'Shared room',0,0,0,15,?,81,0.491147,3.942362,2.07464,53
'Capitol Hill, Lincoln Park',38.88082,-76.99889,'Entire home/apt',313,0,0,156,?,1007,0.304169,2.85611,2.715057,93
'Union Station, Stanton Park, Kingman Park',38.90267,-77.00371,'Shared room',0,0,0,15,?,129,0.302626,3.926849,1.786625,50
'Union Station, Stanton Park, Kingman Park',38.90264,-77.00365,'Shared room',0,0,0,15,?,51,0.304317,3.92647,1.790118,50
'Union Station, Stanton Park, Kingman Park',38.90229,-77.00174,'Shared room',0,0,0,15,?,49,0.333646,3.952835,1.894026,50
'Kalorama Heights, Adams Morgan, Lanier Heights',38.92081,-77.04226,'Entire home/apt',0,0,0,1,?,500,0.614258,4.747154,0.981117,120
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89532,-77.02071,'Entire home/apt',0,0,0,1,?,-1,0.130402,3.115118,1.186687,70
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.897,-77.01091,'Entire home/apt',0,0,0,1,?,40,0.192697,3.407903,1.546854,58
'Brightwood Park, Crestwood, Petworth',38.9561,-77.02328,'Entire home/apt',0,0,0,1,?,60,1.15473,7.216566,3.450454,33
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89503,-77.0237,'Entire home/apt',0,0,0,1,?,73,0.133043,3.05365,1.092971,70
'Congress Heights, Bellevue, Washington Highlands',38.82561,-76.99927,'Entire home/apt',272,0,0,3,?,83,1.496645,2.736559,5.972539,100
'River Terrace, Benning, Greenway, Dupont Park',38.89132,-76.95912,'Private room',0,0,0,1,?,422,0.851694,4.966603,4.265476,58
'Union Station, Stanton Park, Kingman Park',38.89519,-76.98817,'Private room',353,0,0,63,?,977,0.828606,3.966137,2.712382,55
'Dupont Circle, Connecticut Avenue/K Street',38.90089,-77.03977,'Private room',0,0,0,14,?,-1,0.057451,3.368302,0.461196,850
'West End, Foggy Bottom, GWU',38.89923,-77.041,'Private room',0,0,0,14,?,1933,0.145144,3.256678,0.591306,850
'West End, Foggy Bottom, GWU',38.8989,-77.04144,'Private room',0,0,0,14,?,52,0.171598,3.235288,0.621195,945
'Dupont Circle, Connecticut Avenue/K Street',38.90102,-77.03997,'Private room',0,0,0,14,?,-1,0.043795,3.377629,0.456408,945
'Shaw, Logan Circle',38.90646,-77.02767,'Entire home/apt',364,0,0,1,?,773,0.304928,3.7883,0.491848,80
'Capitol Hill, Lincoln Park',38.88047,-76.9924,'Private room',0,0,0,1,?,1670,0.344771,3.097657,2.994031,42
'Capitol Hill, Lincoln Park',38.88088,-76.99428,'Entire home/apt',345,0,0,96,?,80,0.274402,3.039498,2.898378,100
'Brightwood Park, Crestwood, Petworth',38.94284,-77.03603,'Entire home/apt',0,0,0,2,?,1921,0.763097,6.261683,2.459592,320
'Union Station, Stanton Park, Kingman Park',38.89278,-76.99247,'Entire home/apt',0,0,0,96,?,-1,0.592709,3.691146,2.556369,121
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92672,-77.02801,'Entire home/apt',318,0,0,1,?,1879,0.25307,5.174314,1.426915,88
'Brookland, Brentwood, Langdon',38.9218,-76.98068,'Entire home/apt',363,0,0,1,?,1703,0.810315,5.679899,3.14535,114
'Hawthorne, Barnaby Woods, Chevy Chase',38.95919,-77.07264,'Private room',365,0,0,1,?,1848,0.655311,7.617759,4.056706,150
'Kalorama Heights, Adams Morgan, Lanier Heights',38.915932,-77.044438,'Entire home/apt',316,0,0,235,?,64,0.439827,4.418854,0.72291,198
'Ivy City, Arboretum, Trinidad, Carver Langston',38.91001,-76.98561,'Shared room',0,0,0,1,?,67,0.93905,4.856677,2.725276,30
'Shaw, Logan Circle',38.91052,-77.01667,'Entire home/apt',0,0,0,1,?,-1,0.345096,4.182195,1.096389,158
'Shaw, Logan Circle',38.90658,-77.03251,'Entire home/apt',20,0,0,235,?,842,0.366417,3.769159,0.23657,301
'Capitol Hill, Lincoln Park',38.88375,-76.99359,'Private room',352,0,0,63,?,1701,0.141592,3.199048,2.808395,55
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90269,-77.0241,'Entire home/apt',0,0,0,1,?,977,0.283736,3.56432,0.746368,220
'Capitol Hill, Lincoln Park',38.8815,-76.99547,'Entire home/apt',349,0,0,156,?,38,0.217816,3.020596,2.822426,93
'Capitol Hill, Lincoln Park',38.88748,-76.99922,'Entire home/apt',0,0,0,11,?,1856,0.260256,3.180915,2.41653,163
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92181,-77.03078,'Entire home/apt',0,0,0,1,?,101,0.374084,4.82394,1.058988,110
'North Michigan Park, Michigan Park, University Heights',38.948692,-76.990791,'Entire home/apt',345,0,0,1,?,1537,0.643091,7.113417,3.764115,99
'West End, Foggy Bottom, GWU',38.900994,-77.049579,'Entire home/apt',319,0,0,235,?,45,0.042174,3.431981,0.796795,244
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.92691,-77.00714,'Entire home/apt',365,0,0,1,?,52,0.717585,5.409987,2.082639,130
'Dupont Circle, Connecticut Avenue/K Street',38.90365,-77.03945,'Entire home/apt',315,0,0,4,?,-1,0.033209,3.558163,0.279761,550
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92384,-77.02916,'Entire home/apt',100,0,0,1,?,1843,0.329789,4.970696,1.219242,130
'River Terrace, Benning, Greenway, Dupont Park',38.892288,-76.958087,'Entire home/apt',158,0,0,1,?,240,0.767067,5.048996,4.301961,132
'Dupont Circle, Connecticut Avenue/K Street',38.91363,-77.03851,'Private room',0,0,0,1,?,262,0.380429,4.245789,0.451801,179
'Dupont Circle, Connecticut Avenue/K Street',38.90523,-77.03905,'Entire home/apt',0,0,0,4,?,121,0.143632,3.666671,0.177374,600
'Kalorama Heights, Adams Morgan, Lanier Heights',38.92541,-77.04243,'Entire home/apt',318,0,0,1,?,109,0.529939,5.064606,1.29022,60
'Shaw, Logan Circle',38.91287,-77.01964,'Entire home/apt',0,0,0,1,?,68,0.127766,4.300957,0.994929,125
'Dupont Circle, Connecticut Avenue/K Street',38.90362,-77.04826,'Entire home/apt',332,0,0,96,?,62,0.227806,3.598693,0.650784,130
'Shaw, Logan Circle',38.9106,-77.02645,'Entire home/apt',0,0,0,96,?,55,0.312112,4.080277,0.601487,116
'Capitol Hill, Lincoln Park',38.88787,-77.00099,'Entire home/apt',1,0,0,96,?,38,0.292808,3.142694,2.324054,143
'Shaw, Logan Circle',38.90871,-77.02842,'Entire home/apt',0,0,0,96,?,1869,0.378465,3.936914,0.461359,110
'Shaw, Logan Circle',38.90595,-77.03091,'Entire home/apt',361,0,0,96,?,36,0.349338,3.733021,0.328978,153
'Shaw, Logan Circle',38.9097,-77.02971,'Entire home/apt',0,0,0,96,?,95,0.470173,3.99688,0.418295,231
'Capitol Hill, Lincoln Park',38.88359,-76.99314,'Private room',362,0,0,63,?,52,0.167872,3.209032,2.834254,55
'Dupont Circle, Connecticut Avenue/K Street',38.91212,-77.03956,'Entire home/apt',296,0,0,96,?,-1,0.268094,4.142557,0.367589,138
'Dupont Circle, Connecticut Avenue/K Street',38.91508,-77.04099,'Entire home/apt',1,0,0,96,?,79,0.399012,4.349123,0.585338,136
'Dupont Circle, Connecticut Avenue/K Street',38.91297,-77.03982,'Entire home/apt',363,0,0,96,?,60,0.300366,4.201537,0.427151,220
'Dupont Circle, Connecticut Avenue/K Street',38.9136,-77.03583,'Entire home/apt',225,0,0,96,?,44,0.487475,4.244654,0.445226,110
'Dupont Circle, Connecticut Avenue/K Street',38.91588,-77.03601,'Entire home/apt',363,0,0,96,?,59,0.457817,4.401728,0.600775,116
'Capitol Hill, Lincoln Park',38.89139,-76.99839,'Entire home/apt',83,0,0,96,?,59,0.483283,3.419005,2.31427,180
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90608,-77.03389,'Entire home/apt',304,0,0,156,?,66,0.327296,3.730081,0.177263,168
'Dupont Circle, Connecticut Avenue/K Street',38.90851,-77.03801,'Entire home/apt',358,0,0,2,?,80,0.296361,3.892325,0.107849,122
'Shaw, Logan Circle',38.909892,-77.033553,'Entire home/apt',311,0,0,235,?,1830,0.523158,3.99372,0.256873,189
'Shaw, Logan Circle',38.909892,-77.033553,'Entire home/apt',295,0,0,235,?,1782,0.523158,3.99372,0.256873,191
'Mayfair, Hillbrook, Mahaning Heights',38.89721,-76.94549,'Private room',45,0,0,12,?,949,0.152626,5.794023,4.893522,43
'West End, Foggy Bottom, GWU',38.90083,-77.05436,'Entire home/apt',0,0,0,2,?,1766,0.216408,3.476416,1.024458,128
'Shaw, Logan Circle',38.909892,-77.033553,'Entire home/apt',328,0,0,235,?,51,0.523158,3.99372,0.256873,209
'Dupont Circle, Connecticut Avenue/K Street',38.91467,-77.0432,'Entire home/apt',333,0,0,96,?,116,0.349615,4.32717,0.614131,143
'West End, Foggy Bottom, GWU',38.90575,-77.05127,'Entire home/apt',89,0,0,1,?,80,0.351983,3.771099,0.768153,185
'Union Station, Stanton Park, Kingman Park',38.89379,-76.98779,'Entire home/apt',0,0,0,1,?,607,0.748145,3.907849,2.762406,1200
'Shaw, Logan Circle',38.90764,-77.03365,'Entire home/apt',309,0,0,156,?,40,0.434661,3.838258,0.174905,134
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91087,-77.00684,'Entire home/apt',0,0,0,1,?,69,0.333699,4.372491,1.613179,1100
'Capitol Hill, Lincoln Park',38.88189,-77.00627,'Entire home/apt',259,0,0,156,?,950,0.227442,2.645647,2.384381,93
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92318,-77.02987,'Entire home/apt',0,0,0,2,?,68,0.351974,4.922032,1.16387,125
'Dupont Circle, Connecticut Avenue/K Street',38.91736,-77.03921,'Entire home/apt',341,0,0,96,?,58,0.579631,4.503654,0.71165,174
'Dupont Circle, Connecticut Avenue/K Street',38.90851,-77.03898,'Entire home/apt',0,0,0,96,?,53,0.247001,3.892884,0.142559,147
'Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point',38.88286,-77.019193,'Hotel room',0,0,0,1,?,766,0.198772,2.338079,1.923861,0
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',61,0,0,235,?,37,0.499028,4.473884,0.733303,210
'Kalorama Heights, Adams Morgan, Lanier Heights',38.9207,-77.04361,'Entire home/apt',311,0,0,96,?,117,0.556701,4.743763,0.997078,99
'Brightwood Park, Crestwood, Petworth',38.94044,-77.01521,'Entire home/apt',0,0,0,3,?,42,0.483855,6.210881,2.565527,130
'Dupont Circle, Connecticut Avenue/K Street',38.90688,-77.04631,'Entire home/apt',359,0,0,4,?,39,0.242675,3.807285,0.499219,361
'West End, Foggy Bottom, GWU',38.89971,-77.05453,'Entire home/apt',0,0,0,2,?,37,0.235495,3.404078,1.067791,198
'Shaw, Logan Circle',38.91163,-77.02661,'Entire home/apt',0,0,0,5,?,1755,0.279861,4.149388,0.62519,799
'Colonial Village, Shepherd Park, North Portal Estates',38.98136,-77.03099,'Entire home/apt',0,0,0,1,?,152,0.770344,8.926021,5.126618,400
'Dupont Circle, Connecticut Avenue/K Street',38.91193,-77.03966,'Entire home/apt',125,0,0,156,?,102,0.255654,4.129581,0.357652,155
'Dupont Circle, Connecticut Avenue/K Street',38.9117,-77.03815,'Entire home/apt',348,0,0,156,?,1847,0.314315,4.11247,0.317489,147
'Woodridge, Fort Lincoln, Gateway',38.92259,-76.96265,'Entire home/apt',0,0,0,1,?,38,1.75933,6.283079,4.076009,900
'Takoma, Brightwood, Manor Park',38.95988,-77.00667,'Entire home/apt',0,0,0,1,?,38,0.602193,7.616459,3.972362,50
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90329,-76.98185,'Entire home/apt',365,0,0,1,?,57,1.151353,4.608335,2.930097,500
'Union Station, Stanton Park, Kingman Park',38.90539,-76.99655,'Entire home/apt',359,0,0,96,?,1305,0.361107,4.275073,2.142194,172
'West End, Foggy Bottom, GWU',38.90254,-77.05255,'Entire home/apt',343,0,0,96,?,423,0.174619,3.568277,0.889593,143
'Dupont Circle, Connecticut Avenue/K Street',38.91215,-77.04049,'Entire home/apt',258,0,0,156,?,948,0.234257,4.146093,0.390972,166
'Dupont Circle, Connecticut Avenue/K Street',38.91352,-77.04252,'Entire home/apt',285,0,0,156,?,1226,0.274225,4.245682,0.528097,80
'Dupont Circle, Connecticut Avenue/K Street',38.91514,-77.04397,'Entire home/apt',0,0,0,156,?,1788,0.382981,4.362447,0.663746,101
'Dupont Circle, Connecticut Avenue/K Street',38.91436,-77.04358,'Entire home/apt',0,0,0,4,?,-1,0.328151,4.30724,0.607799,110
'Sheridan, Barry Farm, Buena Vista',38.854617,-76.980931,'Entire home/apt',329,0,0,1,?,842,0.736877,3.013579,4.686498,91
'Capitol Hill, Lincoln Park',38.87958,-76.98215,'Entire home/apt',83,0,0,2,?,39,0.212353,3.501764,3.471621,595
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.9144,-77.00998,'Private room',0,0,0,1,?,108,0.628482,4.542773,1.510779,100
'Near Southeast, Navy Yard',38.87823,-76.99624,'Entire home/apt',0,0,0,1,?,997,0.441781,2.842267,2.93933,500
'Howard University, Le Droit Park, Cardozo/Shaw',38.91858,-77.02743,'Entire home/apt',0,0,0,1,?,95,0.108377,4.619282,0.931925,193
'Capitol Hill, Lincoln Park',38.88079,-76.99943,'Entire home/apt',348,0,0,156,?,142,0.321229,2.834123,2.695288,112
'Capitol Hill, Lincoln Park',38.87895,-76.98615,'Entire home/apt',309,0,0,157,?,1144,0.163843,3.300922,3.321796,148
'Shaw, Logan Circle',38.90903,-77.03426,'Entire home/apt',0,0,0,2,?,63,0.486926,3.932391,0.188472,200
'Capitol View, Marshall Heights, Benning Heights',38.8796,-76.94084,'Private room',0,0,0,1,?,68,0.796318,5.472889,5.435702,87
'Capitol Hill, Lincoln Park',38.88372,-76.99292,'Private room',362,0,0,63,?,1751,0.175069,3.223686,2.838674,130
'West End, Foggy Bottom, GWU',38.900692,-77.049126,'Entire home/apt',351,0,0,13,?,49,0.061171,3.407126,0.788367,479
'West End, Foggy Bottom, GWU',38.900692,-77.049126,'Entire home/apt',351,0,0,29,?,106,0.061171,3.407126,0.788367,479
'Brightwood Park, Crestwood, Petworth',38.950113,-77.023611,'Entire home/apt',83,0,0,1,?,119,0.874297,6.803972,3.043606,207
'West End, Foggy Bottom, GWU',38.900692,-77.049126,'Entire home/apt',351,0,0,13,?,136,0.061171,3.407126,0.788367,479
'West End, Foggy Bottom, GWU',38.900692,-77.049126,'Entire home/apt',351,0,0,13,?,60,0.061171,3.407126,0.788367,479
'Capitol Hill, Lincoln Park',38.88356,-76.99179,'Private room',362,0,0,63,?,422,0.2352,3.260667,2.894262,55
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.93063,-77.08486,'Entire home/apt',84,0,0,1,?,38,1.28846,5.967336,3.012437,70
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.904333,-77.031032,'Entire home/apt',330,0,0,235,?,46,0.248331,3.621311,0.368594,229
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.904333,-77.031032,'Entire home/apt',317,0,0,235,?,158,0.248331,3.621311,0.368594,250
'Howard University, Le Droit Park, Cardozo/Shaw',38.91489,-77.02351,'Entire home/apt',0,0,0,2,?,-1,0.128678,4.397273,0.886103,111
'Capitol Hill, Lincoln Park',38.88235,-76.99811,'Entire home/apt',159,0,0,156,?,-1,0.192915,2.959507,2.677055,112
'Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point',38.87652,-77.01942,'Entire home/apt',0,0,0,1,?,1610,0.101423,1.943579,2.310766,89
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.86748,-76.98457,'Entire home/apt',0,0,0,1,?,-1,0.651633,3.009074,3.899176,65
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.895522,-77.022761,'Entire home/apt',233,0,0,235,?,63,0.135202,3.098941,1.100385,229
'Howard University, Le Droit Park, Cardozo/Shaw',38.91853,-77.02537,'Private room',114,0,0,63,?,114,0.154011,4.629997,0.992268,55
'Kalorama Heights, Adams Morgan, Lanier Heights',38.92591,-77.04071,'Entire home/apt',0,0,0,1,?,1189,0.452413,5.095393,1.306687,200
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93671,-77.03177,'Entire home/apt',0,0,0,1,?,60,0.443152,5.846535,2.054262,140
'Dupont Circle, Connecticut Avenue/K Street',38.91493,-77.04033,'Entire home/apt',158,0,0,1,?,50,0.402145,4.337515,0.563499,220
'Capitol View, Marshall Heights, Benning Heights',38.87764,-76.93101,'Entire home/apt',0,0,0,1,?,-1,0.999865,5.725483,5.971313,100
'Dupont Circle, Connecticut Avenue/K Street',38.91769,-77.036682,'Entire home/apt',217,0,0,1,?,54,0.488997,4.52603,0.723902,185
'Union Station, Stanton Park, Kingman Park',38.90051,-76.98604,'Private room',365,0,0,1,?,479,1.006068,4.318935,2.734819,70
'Kalorama Heights, Adams Morgan, Lanier Heights',38.915932,-77.044438,'Entire home/apt',271,0,0,235,?,1624,0.439827,4.418854,0.72291,199
'Dupont Circle, Connecticut Avenue/K Street',38.91227,-77.04064,'Private room',207,0,0,6,?,1471,0.235476,4.154659,0.402085,387
'Shaw, Logan Circle',38.90766,-77.0225,'Entire home/apt',107,0,0,156,?,66,0.08938,3.917337,0.76386,326
'Brightwood Park, Crestwood, Petworth',38.94121,-77.02713,'Entire home/apt',179,0,0,3,?,74,0.324575,6.174044,2.40314,300
'Dupont Circle, Connecticut Avenue/K Street',38.90793,-77.03893,'Entire home/apt',359,0,0,2,?,61,0.264417,3.852824,0.118797,107
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.92096,-77.01194,'Entire home/apt',0,0,0,1,?,-1,0.738572,4.94356,1.628327,80
'North Michigan Park, Michigan Park, University Heights',38.94898,-76.98686,'Entire home/apt',0,0,0,3,?,1676,0.837141,7.207292,3.917192,139
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90072,-77.01875,'Entire home/apt',276,0,0,235,?,49,0.235593,3.501849,1.060785,165
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90072,-77.01875,'Entire home/apt',8,0,0,235,?,43,0.235593,3.501849,1.060785,200
'Georgetown, Burleith/Hillandale',38.90827,-77.06526,'Entire home/apt',0,0,0,1,?,36,0.898898,4.1419,1.504892,150
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92991,-77.03792,'Entire home/apt',364,0,0,96,?,70,0.318052,5.368903,1.567922,235
'Capitol Hill, Lincoln Park',38.88781,-77.00107,'Entire home/apt',0,0,0,96,?,65,0.28689,3.136818,2.322965,109
'Shaw, Logan Circle',38.91098,-77.02748,'Entire home/apt',318,0,0,96,?,133,0.341894,4.098648,0.563283,187
'Capitol Hill, Lincoln Park',38.88249,-76.99666,'Entire home/apt',353,0,0,156,?,53,0.151709,3.021173,2.730473,208
'Dupont Circle, Connecticut Avenue/K Street',38.91229,-77.04225,'Entire home/apt',308,0,0,96,?,170,0.195255,4.160115,0.451386,130
'Dupont Circle, Connecticut Avenue/K Street',38.91397,-77.04579,'Entire home/apt',316,0,0,96,?,38,0.326343,4.290524,0.663484,149
'Dupont Circle, Connecticut Avenue/K Street',38.90808,-77.04705,'Entire home/apt',116,0,0,96,?,1855,0.21947,3.894298,0.541366,119
'Dupont Circle, Connecticut Avenue/K Street',38.91378,-77.04581,'Entire home/apt',335,0,0,96,?,80,0.314712,4.277586,0.655084,92
'Dupont Circle, Connecticut Avenue/K Street',38.91576,-77.03573,'Entire home/apt',363,0,0,96,?,44,0.444733,4.393777,0.593886,210
'Georgetown, Burleith/Hillandale',38.91178,-77.06856,'Entire home/apt',226,0,0,96,?,72,1.096826,4.430904,1.707479,140
'Capitol Hill, Lincoln Park',38.88037,-76.99488,'Entire home/apt',252,0,0,96,?,45,0.299913,2.992438,2.896031,100
'Dupont Circle, Connecticut Avenue/K Street',38.91394,-77.04173,'Entire home/apt',274,0,0,96,?,38,0.312131,4.27231,0.530859,107
'Capitol Hill, Lincoln Park',38.8862,-76.98977,'Entire home/apt',0,0,0,96,?,54,0.347677,3.462427,2.887742,185
'Capitol Hill, Lincoln Park',38.89191,-76.99984,'Entire home/apt',272,0,0,96,?,66,0.541912,3.401636,2.229585,266
'Dupont Circle, Connecticut Avenue/K Street',38.90888,-77.04715,'Entire home/apt',1,0,0,96,?,41,0.204108,3.949724,0.55548,138
'West End, Foggy Bottom, GWU',38.90757,-77.04957,'Entire home/apt',0,0,0,4,?,51,0.355094,3.878814,0.671995,460
'West End, Foggy Bottom, GWU',38.90741,-77.04828,'Entire home/apt',0,0,0,4,?,-1,0.298991,3.857388,0.603314,638
'Capitol Hill, Lincoln Park',38.8879,-76.97792,'Entire home/apt',74,0,0,1,?,57,0.092704,4.01737,3.397782,95
'Howard University, Le Droit Park, Cardozo/Shaw',38.91951,-77.02487,'Entire home/apt',364,0,0,9,?,67,0.221708,4.700709,1.062066,159
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.899914,-77.033127,'Entire home/apt',357,0,0,6,?,1823,0.10207,3.308045,0.541044,339
'Shaw, Logan Circle',38.90728,-77.02395,'Entire home/apt',365,0,0,156,?,1665,0.122214,3.876505,0.686372,167
'West End, Foggy Bottom, GWU',38.900692,-77.049126,'Entire home/apt',351,0,0,6,?,112,0.061171,3.407126,0.788367,557
'West End, Foggy Bottom, GWU',38.900692,-77.049126,'Entire home/apt',351,0,0,6,?,1505,0.061171,3.407126,0.788367,557
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90072,-77.01875,'Entire home/apt',287,0,0,235,?,1437,0.235593,3.501849,1.060785,156
'Capitol Hill, Lincoln Park',38.88683,-77.00416,'Entire home/apt',310,0,0,156,?,74,0.132099,2.983615,2.233048,125
'Capitol Hill, Lincoln Park',38.88503,-77.00622,'Entire home/apt',276,0,0,156,?,64,0.057217,2.81885,2.232505,98
'Capitol Hill, Lincoln Park',38.88485,-77.00646,'Entire home/apt',337,0,0,156,?,158,0.071504,2.801313,2.231822,88
'Takoma, Brightwood, Manor Park',38.96503,-77.0219,'Entire home/apt',269,0,0,2,?,115,0.787965,7.83702,4.068695,320
'Capitol Hill, Lincoln Park',38.88341,-76.99165,'Private room',362,0,0,63,?,62,0.245608,3.259338,2.906227,49
'Georgetown, Burleith/Hillandale',38.90421,-77.06007,'Entire home/apt',256,0,0,2,?,76,0.57244,3.786069,1.24522,215
'Union Station, Stanton Park, Kingman Park',38.89983,-76.99073,'Private room',0,0,0,1,?,132,0.819067,4.128275,2.499292,100
'Brookland, Brentwood, Langdon',38.92719,-76.97103,'Entire home/apt',197,0,0,1,?,955,1.313462,6.271324,3.753711,110
'Fairfax Village, Naylor Gardens, Hillcrest, Summit Park',38.85771,-76.95975,'Entire home/apt',365,0,0,1,?,58,0.478726,4.149286,5.327329,156
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.89943,-76.93214,'Private room',169,0,0,3,?,1528,0.626391,6.477956,5.578104,40
'West End, Foggy Bottom, GWU',38.89788,-77.04755,'Private room',0,0,0,1,?,89,0.242802,3.201694,0.855661,1004
'Georgetown, Burleith/Hillandale',38.90924,-77.05356,'Entire home/apt',179,0,0,32,?,129,0.53819,4.031304,0.894129,190
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90161,-77.02102,'Entire home/apt',0,0,0,1,?,51,0.231631,3.528682,0.925813,150
'Brookland, Brentwood, Langdon',38.93,-76.98681,'Entire home/apt',7,0,0,1,?,-1,0.465858,6.013782,3.085897,175
