@relation 'chicago_listings - cleaned-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_group {NA}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
NA,41.97351,-87.66574,'Entire home/apt',47,0.5,1,4,7,38,13.0574,0.391588,6.869529,246
NA,41.8198,-87.61423,'Private room',7,0.07,4,363,0,424,7.896526,0.333687,4.111547,127
NA,41.94306,-87.79432,'Private room',24,0.25,3,255,2,68,6.511614,1.503438,10.038975,95
NA,41.89874,-87.61862,'Entire home/apt',1,0.07,1,0,0,458,10.671051,0.524548,1.549469,110
NA,41.88503,-87.68664,'Entire home/apt',105,1.07,1,339,25,44,7.719108,0.287746,3.140085,100
NA,41.95669,-87.64847,'Entire home/apt',296,3.03,1,87,45,48,13.073501,0.391005,5.517692,125
NA,41.9011,-87.69184,'Entire home/apt',3,0.04,1,0,0,1920,8.602872,0.840979,3.740714,135
NA,41.9032,-87.63664,'Private room',19,0.19,4,0,1,361,10.263927,0.212773,1.771709,101
NA,41.9391,-87.64573,'Private room',21,0.24,2,0,0,1528,12.063186,0.417155,4.297929,79
NA,41.94047,-87.64578,'Entire home/apt',32,0.33,2,0,0,1053,12.144744,0.416074,4.391087,132
NA,41.84828,-87.68021,'Private room',110,1.17,3,198,14,37,5.831368,0.442588,3.436461,96
NA,41.90384,-87.66765,'Entire home/apt',337,3.5,1,2,24,59,9.355614,0.007007,2.724934,150
NA,41.80392,-87.6108,'Entire home/apt',3,0.1,1,42,0,962,7.829784,0.426285,5.222492,150
NA,41.96264,-87.67296,'Private room',22,0.23,2,168,4,78,12.706276,0.138437,6.291278,120
NA,41.99701,-87.66099,'Entire home/apt',204,2.11,1,154,2,82,13.372497,0.201298,8.37966,42
NA,41.94987,-87.64611,'Entire home/apt',421,4.37,1,202,47,45,12.709533,0.450957,5.031563,143
NA,41.96705,-87.65772,'Entire home/apt',91,1.02,1,71,18,37,13.514087,0.107755,6.324035,252
NA,41.93297,-87.65748,'Entire home/apt',74,0.77,6,74,21,52,11.388645,0.236305,4.076535,234
NA,41.945596,-87.703126,'Entire home/apt',0,NA,1,152,0,-1,11.244424,0.670448,6.141558,100
NA,41.95107,-87.71005,'Private room',109,1.14,1,135,24,37,10.80169,0.550556,6.674532,56
NA,41.89698,-87.68679,'Entire home/apt',35,0.36,1,177,3,77,8.454247,0.54087,3.373347,425
NA,41.87346,-87.62843,'Entire home/apt',34,1.46,1,16,28,44,9.068477,0.061476,0.328782,139
NA,41.94124,-87.64941,'Private room',356,3.78,2,356,20,64,12.098009,0.232089,4.486301,98
NA,41.9254,-87.69753,'Entire home/apt',47,0.54,1,332,9,49,10.074483,0.222638,4.932278,250
NA,41.99632,-87.66385,'Private room',61,0.63,2,225,0,479,13.212565,0.285479,8.366358,65
NA,41.90564,-87.6294,'Entire home/apt',204,2.16,1,91,35,98,10.642038,0.151761,1.900386,202
NA,41.96833,-87.68547,'Entire home/apt',78,0.82,1,212,0,1078,11.996366,0.197375,6.92824,150
NA,41.81873,-87.61387,'Entire home/apt',12,0.14,4,361,1,298,7.893868,0.306017,4.187848,163
NA,41.8905,-87.68672,'Entire home/apt',118,1.23,1,62,22,59,8.053185,0.122144,3.223456,157
NA,42.01653,-87.68788,'Shared room',103,1.07,17,14,5,94,12.129548,0.80267,10.064328,29
NA,41.90487,-87.62747,'Entire home/apt',96,1.01,1,178,2,135,10.667949,0.218993,1.851506,267
NA,41.95518,-87.66999,'Private room',34,0.38,1,105,2,271,12.510719,0.275805,5.753428,75
NA,41.96114,-87.70514,'Private room',19,0.2,1,156,3,72,10.967803,0.358438,7.053478,36
NA,41.95931,-87.67795,'Entire home/apt',81,0.85,1,116,15,72,12.45732,0.210768,6.189563,199
NA,41.85565,-87.63322,'Private room',11,0.23,1,365,3,318,8.089685,0.131875,1.560264,33
NA,41.95501,-87.73814,'Private room',128,1.36,1,82,7,78,9.244069,0.391014,7.946921,126
NA,41.96574,-87.65747,'Private room',111,1.63,1,114,21,50,13.44172,0.034966,6.233025,95
NA,41.9116,-87.66693,'Entire home/apt',306,3.22,5,210,21,121,9.843117,0.363597,3.074568,231
NA,41.90376,-87.69556,'Entire home/apt',159,1.7,1,193,1,307,8.698069,0.952861,4.003308,90
NA,41.95904,-87.64822,'Entire home/apt',51,0.57,1,74,6,206,13.225631,0.500851,5.674695,250
NA,41.900188,-87.661751,'Private room',26,0.27,1,353,15,45,9.30472,0.385245,2.316498,125
NA,41.96109,-87.72917,'Entire home/apt',16,0.23,1,75,11,115,9.66521,0.512364,7.888459,120
NA,41.92125,-87.70158,'Private room',100,1.1,2,258,27,57,9.736141,0.248541,4.921854,59
NA,41.92286,-87.70154,'Private room',66,0.71,2,304,13,53,9.843291,0.242355,4.988124,59
